답변,지능
물감으로 색깔 만드는게 좋아,미술
물감 떨어트려서 색깔이 변하는 걸 보는게 좋아,미술
여러가지 물감을 섞는게 좋아,미술
물감으로 색칠 하면서 노는게 좋아,미술
그림에 물감 색칠하는게 좋아,미술
물감으로 동물 그리고 색칠하는게 좋아,미술
물감으로 식물이랑 동물 그리는게 좋아,미술
붓으로 색칠하고 노는게 좋아,미술
붓으로 그림 그리면서 색칙한는게 좋아,미술
종이에 색칠하기 하는게 좋아,미술
종이에 물감으로 색칠하는게 좋아,미술
물감을 이용해서 종이에 그림을 그리는게 좋아,미술
색연필로 그리는게 좋아,미술
색연필로 그림 색칠하면서 노는게 좋아,미술
여러 가지 색깔을 이용해서 그림 그리는게 좋아,미술
종이에 그림 그리고 색칠하는게 좋아,미술
그림 그리기 하는게 좋아,미술
그림에 색칠하면서 노는게 좋아,미술
점이어서 그림 만들고 색칠하는게 좋아,미술
스케치북에 색칠 공부하면서 있는게 좋아,미술
크레파스로 색칠 공부하면서 노는게 좋아,미술
크레파스로 색칠하는게 좋아,미술
블록 쌓기 놀이하는게 좋아,미술
블록으로 동물 만드는게 좋아,미술
블록 가지고 내가 만들고 싶은거 만드는게 좋아,미술
만들고 싶은거 블록 쌓아서 만드는게 좋아,미술
종이로 종이접기 하면서 노는게 좋아,미술
종이로 동물 만드는게 좋아,미술
종이접기로 비행기 만들어서 날리는게 좋아,미술
종이접기 하면서 동물이랑 꽃 만드는게 좋아,미술
점을 이어서 그림을 그리는게 좋아,미술
점을 찍어서 그림을 완성하는게 좋아,미술
선을 그어서 내가 그리고 싶은 걸 그리는게 좋아,미술
점과 점을 이어서 무슨 모양이 나오나 보는게 좋아,미술
선을 가지고 노는게 좋아,미술
선으로 어떤 모양을 만들 수 있나 보는게 좋아,미술
어떤 모양인지 알아맞히고 이런 모양을 어디서 찾을 수 있나 보는게 좋아,미술
종이를 가위로 자르면서 만드는게 좋아,미술
점을 연필로 그리면서 이어 보느게 좋아,미술
연필로 그림을 그리고 크레파스로 색칠하는게 좋아,미술
레고로 블록 쌓으면서 노는게 좋아,미술
꼬마큐브를 쌓으면서 블록 놀이하는게 좋아,미술
도화지에 여러 가지 물감으로 데칼코마니 그리기 하는게 좋아,미술
도화지에 데칼코마니 만드는게 좋아,미술
그림이 뭔지 알아맞히기 하는게 좋아,미술
물건의 모양이 어떻게 변화는지 알아맞히기 하는게 좋아,미술
엄청 많은 색깔을 가지고 노는게 좋아,미술
물통에 물감을 떨어뜨리는게 좋아,미술
색깔이 어떻게 변화는지 보는게 좋아,미술
이 색이랑 저 색이랑 섞으면 무슨 색이 나오는지 보는게 좋아,미술
색깔과 색깔을 섞어서 색깔을 만들어 보는게 좋아,미술
어느 계절이 무슨 색깔과 어울리는지 생각해보는게 좋아,미술
어떤게 무슨 색깔이랑 어울리는지 알아보는게 좋아,미술
나는 그림을 그릴 때 색깔을 쓰는게 좋아,미술
색연필로 그림 그려보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 색깔을 만들어 보는게 좋아,미술
점을 따라 그려서 선을 만들어 보는게 좋아,미술
반듯하게 선을 그려보는게 좋아,미술
선 따라 그림을 그려보는게 좋아,미술
전과 선을 보면서 상상해 보는게 좋아,미술
예쁘게 선을 그려보는게 좋아,미술
선따라 그려서 면을 만들어보는게 좋아,미술
스케치북에 그림을 그려보는게 좋아,미술
주위에 뭐가 있는지 보고 따라 그려보는게 좋아,미술
벽에 그림을 그려보는게 좋아,미술
나는 오늘 선생님께서 그림을 잘 그렸다고 칭찬 받아보는게 좋아,미술
친구도 그림 그리는 걸 좋아하고 나도 그림 그리는게 좋아,미술
공책에다가 그림 그리는게 좋아,미술
공책에다 물감으로 색칠하는게 좋아,미술
공책위에 연필로 그림그리는게 좋아,미술
연필이랑 크레파스로 그림그리는게 좋아,미술
그림 그리는 시간 갖는게 좋아,미술
동물 그리는게 좋아,미술
미술 시간이 있는게 좋아,미술
나를 그림으로 그리는 시간이 있는게 좋아,미술
친구들 그림으로 그리는 시간이 있는게 좋아,미술
꽃을 보고 잘 그리는게 좋아,미술
가족을 그리는게 좋아,미술
우리 집을 그리는게 좋아,미술
유치원에서 미술 시간을 갖는게 좋아,미술
만화를 그리는게 좋아,미술
만화 영화를 보는게 좋아,미술
빨간색과 빨간색을 섞어서 빨간색을 만들어 보는게 좋아,미술
주황색과 주황색을 섞어서 주황색을 만들어 보는게 좋아,미술
노란색과 노란색을 섞어서 노란색을 만들어 보는게 좋아,미술
초록색과 초록색을 섞어서 초록색을 만들어 보는게 좋아,미술
파란색과 파란색을 섞어서 파란색을 만들어 보는게 좋아,미술
남색과 남색을 섞어서 남색을 만들어 보는게 좋아,미술
보라색과 보라색을 섞어서 보라색을 만들어 보는게 좋아,미술
나는 그림을 그릴 때 빨간색을 쓰는게 좋아,미술
나는 그림을 그릴 때 주황색을 쓰는게 좋아,미술
나는 그림을 그릴 때 노란색을 쓰는게 좋아,미술
나는 그림을 그릴 때 초록색을 쓰는게 좋아,미술
나는 그림을 그릴 때 파란색을 쓰는게 좋아,미술
나는 그림을 그릴 때 남색을 쓰는게 좋아,미술
나는 그림을 그릴 때 보라색을 쓰는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 빨간색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 주황색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 노란색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 초록색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 파란색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 남색을 만들어 보는게 좋아,미술
그림 그릴 때 색을 섞어서 예쁜 보라색을 만들어 보는게 좋아,미술
물감으로 색깔 만드는거 잘해,미술
물감으로 색깔 만드는게 신나,미술
물감으로 색깔 만드는게 즐거워,미술
물감 떨어트려서 색깔이 변하는 걸 보는거 잘해,미술
물감 떨어트려서 색깔이 변하는 걸 보는게 신나,미술
물감 떨어트려서 색깔이 변하는 걸 보는게 즐거워,미술
여러가지 물감을 섞는거 잘해,미술
여러가지 물감을 섞는게 신나,미술
여러가지 물감을 섞는게 즐거워,미술
물감으로 색칠 하면서 노는거 잘해,미술
물감으로 색칠 하면서 노는게 신나,미술
물감으로 색칠 하면서 노는게 즐거워,미술
그림에 물감 색칠하는거 잘해,미술
그림에 물감 색칠하는게 신나,미술
그림에 물감 색칠하는게 즐거워,미술
물감으로 동물 그리고 색칠하는거 잘해,미술
물감으로 동물 그리고 색칠하는게 신나,미술
물감으로 동물 그리고 색칠하는게 즐거워,미술
물감으로 식물이랑 동물 그리는거 잘해,미술
물감으로 식물이랑 동물 그리는게 신나,미술
물감으로 식물이랑 동물 그리는게 즐거워,미술
붓으로 색칠하고 노는거 잘해,미술
붓으로 색칠하고 노는게 신나,미술
붓으로 색칠하고 노는게 즐거워,미술
붓으로 그림 그리면서 색칙한는거 잘해,미술
붓으로 그림 그리면서 색칙한는게 신나,미술
붓으로 그림 그리면서 색칙한는게 즐거워,미술
종이에 색칠하기 하는거 잘해,미술
종이에 색칠하기 하는게 신나,미술
종이에 색칠하기 하는게 즐거워,미술
종이에 물감으로 색칠하는거 잘해,미술
종이에 물감으로 색칠하는게 신나,미술
종이에 물감으로 색칠하는게 즐거워,미술
물감을 이용해서 종이에 그림을 그리는거 잘해,미술
물감을 이용해서 종이에 그림을 그리는게 신나,미술
물감을 이용해서 종이에 그림을 그리는게 즐거워,미술
색연필로 그리는거 잘해,미술
색연필로 그리는게 신나,미술
색연필로 그리는게 즐거워,미술
색연필로 그림 색칠하면서 노는거 잘해,미술
색연필로 그림 색칠하면서 노는게 신나,미술
색연필로 그림 색칠하면서 노는게 즐거워,미술
여러 가지 색깔을 이용해서 그림 그리는거 잘해,미술
여러 가지 색깔을 이용해서 그림 그리는게 신나,미술
여러 가지 색깔을 이용해서 그림 그리는게 즐거워,미술
종이에 그림 그리고 색칠하는거 잘해,미술
종이에 그림 그리고 색칠하는게 신나,미술
종이에 그림 그리고 색칠하는게 즐거워,미술
그림 그리기 하는거 잘해,미술
그림 그리기 하는게 신나,미술
그림 그리기 하는게 즐거워,미술
그림에 색칠하면서 노는거 잘해,미술
그림에 색칠하면서 노는게 신나,미술
그림에 색칠하면서 노는게 즐거워,미술
점이어서 그림 만들고 색칠하는거 잘해,미술
점이어서 그림 만들고 색칠하는게 신나,미술
점이어서 그림 만들고 색칠하는게 즐거워,미술
스케치북에 색칠 공부하면서 있는거 잘해,미술
스케치북에 색칠 공부하면서 있는게 신나,미술
스케치북에 색칠 공부하면서 있는게 즐거워,미술
크레파스로 색칠 공부하면서 노는거 잘해,미술
크레파스로 색칠 공부하면서 노는게 신나,미술
크레파스로 색칠 공부하면서 노는게 즐거워,미술
크레파스로 색칠하는거 잘해,미술
크레파스로 색칠하는게 신나,미술
크레파스로 색칠하는게 즐거워,미술
블록 쌓기 놀이하는거 잘해,미술
블록 쌓기 놀이하는게 신나,미술
블록 쌓기 놀이하는게 즐거워,미술
블록으로 동물 만드는거 잘해,미술
블록으로 동물 만드는게 신나,미술
블록으로 동물 만드는게 즐거워,미술
블록 가지고 내가 만들고 싶은거 만드는거 잘해,미술
블록 가지고 내가 만들고 싶은거 만드는게 신나,미술
블록 가지고 내가 만들고 싶은거 만드는게 즐거워,미술
만들고 싶은거 블록 쌓아서 만드는거 잘해,미술
만들고 싶은거 블록 쌓아서 만드는게 신나,미술
만들고 싶은거 블록 쌓아서 만드는게 즐거워,미술
종이로 종이접기 하면서 노는거 잘해,미술
종이로 종이접기 하면서 노는게 신나,미술
종이로 종이접기 하면서 노는게 즐거워,미술
종이로 동물 만드는거 잘해,미술
종이로 동물 만드는게 신나,미술
종이로 동물 만드는게 즐거워,미술
종이접기로 비행기 만들어서 날리는거 잘해,미술
종이접기로 비행기 만들어서 날리는게 신나,미술
종이접기로 비행기 만들어서 날리는게 즐거워,미술
종이접기 하면서 동물이랑 꽃 만드는거 잘해,미술
종이접기 하면서 동물이랑 꽃 만드는게 신나,미술
종이접기 하면서 동물이랑 꽃 만드는게 즐거워,미술
점을 이어서 그림을 그리는거 잘해,미술
점을 이어서 그림을 그리는게 신나,미술
점을 이어서 그림을 그리는게 즐거워,미술
점을 찍어서 그림을 완성하는거 잘해,미술
점을 찍어서 그림을 완성하는게 신나,미술
점을 찍어서 그림을 완성하는게 즐거워,미술
선을 그어서 내가 그리고 싶은 걸 그리는거 잘해,미술
선을 그어서 내가 그리고 싶은 걸 그리는게 신나,미술
선을 그어서 내가 그리고 싶은 걸 그리는게 즐거워,미술
점과 점을 이어서 무슨 모양이 나오나 보는거 잘해,미술
점과 점을 이어서 무슨 모양이 나오나 보는게 신나,미술
점과 점을 이어서 무슨 모양이 나오나 보는게 즐거워,미술
선을 가지고 노는거 잘해,미술
선을 가지고 노는게 신나,미술
선을 가지고 노는게 즐거워,미술
선으로 어떤 모양을 만들 수 있나 보는거 잘해,미술
선으로 어떤 모양을 만들 수 있나 보는게 신나,미술
선으로 어떤 모양을 만들 수 있나 보는게 즐거워,미술
어떤 모양인지 알아맞히고 이런 모양을 어디서 찾을 수 있나 보는거 잘해,미술
어떤 모양인지 알아맞히고 이런 모양을 어디서 찾을 수 있나 보는게 신나,미술
어떤 모양인지 알아맞히고 이런 모양을 어디서 찾을 수 있나 보는게 즐거워,미술
종이를 가위로 자르면서 만드는거 잘해,미술
종이를 가위로 자르면서 만드는게 신나,미술
종이를 가위로 자르면서 만드는게 즐거워,미술
점을 연필로 그리면서 이어 보느거 잘해,미술
점을 연필로 그리면서 이어 보느게 신나,미술
점을 연필로 그리면서 이어 보느게 즐거워,미술
연필로 그림을 그리고 크레파스로 색칠하는거 잘해,미술
연필로 그림을 그리고 크레파스로 색칠하는게 신나,미술
연필로 그림을 그리고 크레파스로 색칠하는게 즐거워,미술
레고로 블록 쌓으면서 노는거 잘해,미술
레고로 블록 쌓으면서 노는게 신나,미술
레고로 블록 쌓으면서 노는게 즐거워,미술
꼬마큐브를 쌓으면서 블록 놀이하는거 잘해,미술
꼬마큐브를 쌓으면서 블록 놀이하는게 신나,미술
꼬마큐브를 쌓으면서 블록 놀이하는게 즐거워,미술
도화지에 여러 가지 물감으로 데칼코마니 그리기 하는거 잘해,미술
도화지에 여러 가지 물감으로 데칼코마니 그리기 하는게 신나,미술
도화지에 여러 가지 물감으로 데칼코마니 그리기 하는게 즐거워,미술
도화지에 데칼코마니 만드는거 잘해,미술
도화지에 데칼코마니 만드는게 신나,미술
도화지에 데칼코마니 만드는게 즐거워,미술
그림이 뭔지 알아맞히기 하는거 잘해,미술
그림이 뭔지 알아맞히기 하는게 신나,미술
그림이 뭔지 알아맞히기 하는게 즐거워,미술
물건의 모양이 어떻게 변화는지 알아맞히기 하는거 잘해,미술
물건의 모양이 어떻게 변화는지 알아맞히기 하는게 신나,미술
물건의 모양이 어떻게 변화는지 알아맞히기 하는게 즐거워,미술
엄청 많은 색깔을 가지고 노는거 잘해,미술
엄청 많은 색깔을 가지고 노는게 신나,미술
엄청 많은 색깔을 가지고 노는게 즐거워,미술
물통에 물감을 떨어뜨리는거 잘해,미술
물통에 물감을 떨어뜨리는게 신나,미술
물통에 물감을 떨어뜨리는게 즐거워,미술
색깔이 어떻게 변화는지 보는거 잘해,미술
색깔이 어떻게 변화는지 보는게 신나,미술
색깔이 어떻게 변화는지 보는게 즐거워,미술
이 색이랑 저 색이랑 섞으면 무슨 색이 나오는지 보는거 잘해,미술
이 색이랑 저 색이랑 섞으면 무슨 색이 나오는지 보는게 신나,미술
이 색이랑 저 색이랑 섞으면 무슨 색이 나오는지 보는게 즐거워,미술
색깔과 색깔을 섞어서 색깔을 만들어 보는거 잘해,미술
색깔과 색깔을 섞어서 색깔을 만들어 보는게 신나,미술
색깔과 색깔을 섞어서 색깔을 만들어 보는게 즐거워,미술
어느 계절이 무슨 색깔과 어울리는지 생각해보는거 잘해,미술
