답변,지능
어느 계절이 무슨 색깔과 어울리는지 생각해보는게 신나,미술
어느 계절이 무슨 색깔과 어울리는지 생각해보는게 즐거워,미술
어떤게 무슨 색깔이랑 어울리는지 알아보는거 잘해,미술
어떤게 무슨 색깔이랑 어울리는지 알아보는게 신나,미술
어떤게 무슨 색깔이랑 어울리는지 알아보는게 즐거워,미술
나는 그림을 그릴 때 색깔을 쓰는거 잘해,미술
나는 그림을 그릴 때 색깔을 쓰는게 신나,미술
나는 그림을 그릴 때 색깔을 쓰는게 즐거워,미술
색연필로 그림 그려보는거 잘해,미술
색연필로 그림 그려보는게 신나,미술
색연필로 그림 그려보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 색깔을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 색깔을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 색깔을 만들어 보는게 즐거워,미술
점을 따라 그려서 선을 만들어 보는거 잘해,미술
점을 따라 그려서 선을 만들어 보는게 신나,미술
점을 따라 그려서 선을 만들어 보는게 즐거워,미술
반듯하게 선을 그려보는거 잘해,미술
반듯하게 선을 그려보는게 신나,미술
반듯하게 선을 그려보는게 즐거워,미술
선 따라 그림을 그려보는거 잘해,미술
선 따라 그림을 그려보는게 신나,미술
선 따라 그림을 그려보는게 즐거워,미술
전과 선을 보면서 상상해 보는거 잘해,미술
전과 선을 보면서 상상해 보는게 신나,미술
전과 선을 보면서 상상해 보는게 즐거워,미술
예쁘게 선을 그려보는거 잘해,미술
예쁘게 선을 그려보는게 신나,미술
예쁘게 선을 그려보는게 즐거워,미술
선따라 그려서 면을 만들어보는거 잘해,미술
선따라 그려서 면을 만들어보는게 신나,미술
선따라 그려서 면을 만들어보는게 즐거워,미술
스케치북에 그림을 그려보는거 잘해,미술
스케치북에 그림을 그려보는게 신나,미술
스케치북에 그림을 그려보는게 즐거워,미술
주위에 뭐가 있는지 보고 따라 그려보는거 잘해,미술
주위에 뭐가 있는지 보고 따라 그려보는게 신나,미술
주위에 뭐가 있는지 보고 따라 그려보는게 즐거워,미술
벽에 그림을 그려보는거 잘해,미술
벽에 그림을 그려보는게 신나,미술
벽에 그림을 그려보는게 즐거워,미술
나는 오늘 선생님께서 그림을 잘 그렸다고 칭찬 받아보는거 잘해,미술
나는 오늘 선생님께서 그림을 잘 그렸다고 칭찬 받아보는게 신나,미술
나는 오늘 선생님께서 그림을 잘 그렸다고 칭찬 받아보는게 즐거워,미술
친구도 그림 그리는 걸 좋아하고 나도 그림 그리는거 잘해,미술
친구도 그림 그리는 걸 좋아하고 나도 그림 그리는게 신나,미술
친구도 그림 그리는 걸 좋아하고 나도 그림 그리는게 즐거워,미술
공책에다가 그림 그리는거 잘해,미술
공책에다가 그림 그리는게 신나,미술
공책에다가 그림 그리는게 즐거워,미술
공책에다 물감으로 색칠하는거 잘해,미술
공책에다 물감으로 색칠하는게 신나,미술
공책에다 물감으로 색칠하는게 즐거워,미술
공책위에 연필로 그림그리는거 잘해,미술
공책위에 연필로 그림그리는게 신나,미술
공책위에 연필로 그림그리는게 즐거워,미술
연필이랑 크레파스로 그림그리는거 잘해,미술
연필이랑 크레파스로 그림그리는게 신나,미술
연필이랑 크레파스로 그림그리는게 즐거워,미술
그림 그리는 시간 갖는거 잘해,미술
그림 그리는 시간 갖는게 신나,미술
그림 그리는 시간 갖는게 즐거워,미술
동물 그리는거 잘해,미술
동물 그리는게 신나,미술
동물 그리는게 즐거워,미술
미술 시간이 있는거 잘해,미술
미술 시간이 있는게 신나,미술
미술 시간이 있는게 즐거워,미술
나를 그림으로 그리는 시간이 있는거 잘해,미술
나를 그림으로 그리는 시간이 있는게 신나,미술
나를 그림으로 그리는 시간이 있는게 즐거워,미술
친구들 그림으로 그리는 시간이 있는거 잘해,미술
친구들 그림으로 그리는 시간이 있는게 신나,미술
친구들 그림으로 그리는 시간이 있는게 즐거워,미술
꽃을 보고 잘 그리는거 잘해,미술
꽃을 보고 잘 그리는게 신나,미술
꽃을 보고 잘 그리는게 즐거워,미술
가족을 그리는거 잘해,미술
가족을 그리는게 신나,미술
가족을 그리는게 즐거워,미술
우리 집을 그리는거 잘해,미술
우리 집을 그리는게 신나,미술
우리 집을 그리는게 즐거워,미술
유치원에서 미술 시간을 갖는거 잘해,미술
유치원에서 미술 시간을 갖는게 신나,미술
유치원에서 미술 시간을 갖는게 즐거워,미술
만화 영화를 보는거 잘해,미술
만화 영화를 보는게 신나,미술
만화 영화를 보는게 즐거워,미술
빨간색과 빨간색을 섞어서 빨간색을 만들어 보는거 잘해,미술
빨간색과 빨간색을 섞어서 빨간색을 만들어 보는게 신나,미술
빨간색과 빨간색을 섞어서 빨간색을 만들어 보는게 즐거워,미술
주황색과 주황색을 섞어서 주황색을 만들어 보는거 잘해,미술
주황색과 주황색을 섞어서 주황색을 만들어 보는게 신나,미술
주황색과 주황색을 섞어서 주황색을 만들어 보는게 즐거워,미술
노란색과 노란색을 섞어서 노란색을 만들어 보는거 잘해,미술
노란색과 노란색을 섞어서 노란색을 만들어 보는게 신나,미술
노란색과 노란색을 섞어서 노란색을 만들어 보는게 즐거워,미술
초록색과 초록색을 섞어서 초록색을 만들어 보는거 잘해,미술
초록색과 초록색을 섞어서 초록색을 만들어 보는게 신나,미술
초록색과 초록색을 섞어서 초록색을 만들어 보는게 즐거워,미술
파란색과 파란색을 섞어서 파란색을 만들어 보는거 잘해,미술
파란색과 파란색을 섞어서 파란색을 만들어 보는게 신나,미술
파란색과 파란색을 섞어서 파란색을 만들어 보는게 즐거워,미술
남색과 남색을 섞어서 남색을 만들어 보는거 잘해,미술
남색과 남색을 섞어서 남색을 만들어 보는게 신나,미술
남색과 남색을 섞어서 남색을 만들어 보는게 즐거워,미술
보라색과 보라색을 섞어서 보라색을 만들어 보는거 잘해,미술
보라색과 보라색을 섞어서 보라색을 만들어 보는게 신나,미술
보라색과 보라색을 섞어서 보라색을 만들어 보는게 즐거워,미술
나는 그림을 그릴 때 빨간색을 쓰는거 잘해,미술
나는 그림을 그릴 때 빨간색을 쓰는게 신나,미술
나는 그림을 그릴 때 빨간색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 주황색을 쓰는거 잘해,미술
나는 그림을 그릴 때 주황색을 쓰는게 신나,미술
나는 그림을 그릴 때 주황색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 노란색을 쓰는거 잘해,미술
나는 그림을 그릴 때 노란색을 쓰는게 신나,미술
나는 그림을 그릴 때 노란색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 초록색을 쓰는거 잘해,미술
나는 그림을 그릴 때 초록색을 쓰는게 신나,미술
나는 그림을 그릴 때 초록색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 파란색을 쓰는거 잘해,미술
나는 그림을 그릴 때 파란색을 쓰는게 신나,미술
나는 그림을 그릴 때 파란색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 남색을 쓰는거 잘해,미술
나는 그림을 그릴 때 남색을 쓰는게 신나,미술
나는 그림을 그릴 때 남색을 쓰는게 즐거워,미술
나는 그림을 그릴 때 보라색을 쓰는거 잘해,미술
나는 그림을 그릴 때 보라색을 쓰는게 신나,미술
나는 그림을 그릴 때 보라색을 쓰는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 빨간색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 빨간색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 빨간색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 주황색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 주황색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 주황색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 노란색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 노란색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 노란색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 초록색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 초록색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 초록색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 파란색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 파란색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 파란색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 남색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 남색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 남색을 만들어 보는게 즐거워,미술
그림 그릴 때 색을 섞어서 예쁜 보라색을 만들어 보는거 잘해,미술
그림 그릴 때 색을 섞어서 예쁜 보라색을 만들어 보는게 신나,미술
그림 그릴 때 색을 섞어서 예쁜 보라색을 만들어 보는게 즐거워,미술
미술관 놀러 가고 싶어,미술
박물관 놀러 가고 싶어,미술
패션쇼 놀러 가고 싶어,미술
나는 화가이 되고 싶어요,미술
나는 화가이 될 거예요,미술
나는 공예가이 되고 싶어요,미술
나는 공예가이 될 거예요,미술
나는 건축가이 되고 싶어요,미술
나는 건축가이 될 거예요,미술
나는 건축설계사이 되고 싶어요,미술
나는 건축설계사이 될 거예요,미술
나는 카레이서이 되고 싶어요,미술
나는 카레이서이 될 거예요,미술
나는 디자이너이 되고 싶어요,미술
나는 디자이너이 될 거예요,미술
나는 선장이 되고 싶어요,미술
나는 선장이 될 거예요,미술
나는 파일럿이 되고 싶어요,미술
나는 파일럿이 될 거예요,미술
나는 스타일리스트이 되고 싶어요,미술
나는 스타일리스트이 될 거예요,미술
나는 만화가이 되고 싶어요,미술
나는 만화가이 될 거예요,미술
나는 미대교수이 되고 싶어요,미술
나는 미대교수이 될 거예요,미술
나는 연출가이 되고 싶어요,미술
나는 연출가이 될 거예요,미술
나는 코디네이터이 되고 싶어요,미술
나는 코디네이터이 될 거예요,미술
나는 메이크업 아티스트이 되고 싶어요,미술
나는 메이크업 아티스트이 될 거예요,미술
나는 조각가이 되고 싶어요,미술
나는 조각가이 될 거예요,미술
나는 운전기사이 되고 싶어요,미술
나는 운전기사이 될 거예요,미술
나는 지도삽화가이 되고 싶어요,미술
나는 지도삽화가이 될 거예요,미술
나는 사진사이 되고 싶어요,미술
나는 사진사이 될 거예요,미술
나는 요리사이 되고 싶어요,미술
나는 요리사이 될 거예요,미술
나는 동화 작가이 되고 싶어요,미술
나는 동화 작가이 될 거예요,미술
나는 큐레이터이 되고 싶어요,미술
나는 큐레이터이 될 거예요,미술
나는 서예가이 되고 싶어요,미술
나는 서예가이 될 거예요,미술
나는 치과의사이 되고 싶어요,미술
나는 치과의사이 될 거예요,미술
나는 일러스트레이터이 되고 싶어요,미술
나는 일러스트레이터이 될 거예요,미술
나는 지리학자이 되고 싶어요,미술
나는 지리학자이 될 거예요,미술
나는 항해사이 되고 싶어요,미술
나는 항해사이 될 거예요,미술
나는 인테리어 디자이너이 되고 싶어요,미술
나는 인테리어 디자이너이 될 거예요,미술
나는 게임 디자이너이 되고 싶어요,미술
나는 게임 디자이너이 될 거예요,미술
나는 헤어 디자이너이 되고 싶어요,미술
나는 헤어 디자이너이 될 거예요,미술
나는 무대 디자이너이 되고 싶어요,미술
나는 무대 디자이너이 될 거예요,미술
나는 컴퓨터 그래픽이 되고 싶어요,미술
나는 컴퓨터 그래픽이 될 거예요,미술
나는 엔지니어이 되고 싶어요,미술
나는 엔지니어이 될 거예요,미술
나는 설계사이 되고 싶어요,미술
나는 설계사이 될 거예요,미술
나는 애니메이터이 되고 싶어요,미술
나는 애니메이터이 될 거예요,미술
나는 미술 교사이 되고 싶어요,미술
나는 미술 교사이 될 거예요,미술
나는 탐험가이 되고 싶어요,미술
나는 탐험가이 될 거예요,미술
나는 택시 운전사이 되고 싶어요,미술
나는 택시 운전사이 될 거예요,미술
나는 피카소처럼 되고 싶어요,미술
나는 피카소처럼 될 거예요,미술
나는 가우디처럼 되고 싶어요,미술
나는 가우디처럼 될 거예요,미술
나는 월트 디즈니처럼 되고 싶어요,미술
나는 월트 디즈니처럼 될 거예요,미술
나는 고흐처럼 되고 싶어요,미술
나는 고흐처럼 될 거예요,미술
나는 미켈란젤로처럼 되고 싶어요,미술
나는 미켈란젤로처럼 될 거예요,미술
나는 백남준처럼 되고 싶어요,미술
나는 백남준처럼 될 거예요,미술
나는 가브리엘 샤넬처럼 되고 싶어요,미술
나는 가브리엘 샤넬처럼 될 거예요,미술
나는 권기옥처럼 되고 싶어요,미술
나는 권기옥처럼 될 거예요,미술
나는 김태호처럼 되고 싶어요,미술
나는 김태호처럼 될 거예요,미술
나는 미야자키 하야오처럼 되고 싶어요,미술
나는 미야자키 하야오처럼 될 거예요,미술
나는 안토니 가우디처럼 되고 싶어요,미술
나는 안토니 가우디처럼 될 거예요,미술
나는 조선희처럼 되고 싶어요,미술
나는 조선희처럼 될 거예요,미술
나는 찰리 채플린처럼 되고 싶어요,미술
나는 찰리 채플린처럼 될 거예요,미술
나는 가우디처럼 되고 싶어요,미술
나는 가우디처럼 될 거예요,미술
나는 코코샤넬처럼 되고 싶어요,미술
나는 코코샤넬처럼 될 거예요,미술
나는 다빈치처럼 되고 싶어요,미술
나는 다빈치처럼 될 거예요,미술
나는 모네처럼 되고 싶어요,미술
나는 모네처럼 될 거예요,미술
나는 마네처럼 되고 싶어요,미술
나는 마네처럼 될 거예요,미술
나는 로뎅처럼 되고 싶어요,미술
나는 로뎅처럼 될 거예요,미술
나는 김흥도처럼 되고 싶어요,미술
나는 김흥도처럼 될 거예요,미술
나는 고갱처럼 되고 싶어요,미술
나는 고갱처럼 될 거예요,미술
나는 드가처럼 되고 싶어요,미술
나는 드가처럼 될 거예요,미술
나는 세잔느처럼 되고 싶어요,미술
나는 세잔느처럼 될 거예요,미술